Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.44      2.21     0.01     2733     0.00     0.00  std::tr1::_Hashtable<int, std::pair<int const, aalta_formula*>, std::allocator<std::pair<int const, aalta_formula*> >, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_nodes(std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>**, unsigned long)
  0.44      2.22     0.01      817     0.00     0.00  aalta_formula::to_set()
  0.44      2.23     0.01        9     0.00     0.00  aalta_formula::contain(aalta_formula::poskind, int, aalta_formula::poskind, int, aalta_formula*)
  0.44      2.24     0.01        1     0.01     0.01  aalta_formula::destroy()
  0.44      2.25     0.01                             void Minisat::selectionSort<unsigned int, reduceDB_lt>(unsigned int*, int, reduceDB_lt)
  0.44      2.26     0.01                             Minisat::Solver::analyzeFinal(Minisat::Lit, Minisat::vec<Minisat::Lit>&)
  0.44      2.27     0.01                             Minisat::Solver::Watcher::operator!=(Minisat::Solver::Watcher const&) const
  0.44      2.28     0.01                             operator delete(void*, void*)
  0.00      2.28     0.00  6567060     0.00     0.00  Minisat::sign(Minisat::Lit)
  0.00      2.28     0.00  4985120     0.00     0.00  Minisat::Solver::nVars() const
  0.00      2.28     0.00  2736193     0.00     0.00  std::string convert_to_string<int>(int)
  0.00      2.28     0.00  2673343     0.00     0.00  Minisat::Lit::operator==(Minisat::Lit) const
  0.00      2.28     0.00  2019414     0.00     0.00  Minisat::LessThan_default<Minisat::Lit>::operator()(Minisat::Lit, Minisat::Lit)
  0.00      2.28     0.00  1750245     0.00     0.00  Minisat::Solver::decisionLevel() const
  0.00      2.28     0.00  1719528     0.00     0.00  Minisat::vec<char>::capacity(int)
  0.00      2.28     0.00  1625532     0.00     0.00  Minisat::vec<Minisat::vec<Minisat::Solver::Watcher> >::growTo(int)
